"title","station","description","issues","medium","character","url","imageURL","bcastId","documentId"
"Der Alte","ZDF","Der Freitagskrimi mit Jan-Gregor Kremp als Hauptkommissar Richard Voss.","4","tv","D","https://www.zdf.de//serien/der-alte","https://www.zdf.de/assets/sendungsteaser-der-alte-100~1920x1080?cb=1477579291508"
"Fernsehfilm der Woche","ZDF","Der Fernsehfilm der Woche im ZDF mit hochkarätigen Einzelfilmen verschiedener Genres","883","tv","D","https://www.zdf.de//filme/der-fernsehfilm-der-woche","https://www.zdf.de/assets/fernsehfilm-der-woche-sendungsteaser-100~1920x1080?cb=1477639570786"
"Der Haustier-Check","","Tierexpertin Kate Kitchenham begleitet in ""Der Haustier-Check"" Menschen aus ganz Deutschland auf ihrem Weg zum neuen tierischen Mitbewohner.","26","tv","D","https://www.zdf.de//dokumentation/der-haustier-check","https://www.zdf.de/assets/sendungsteaser-der-haustier-check-100~1920x1080?cb=1477639372375"
"Der Kommissar und das Meer","ZDF","Samstagskrimireihe mit Walter Sittler im ZDF","15","tv","D","https://www.zdf.de//filme/der-kommissar-und-das-meer","https://www.zdf.de/assets/der-kommissar-und-das-meer-sendungsteaser-100~1920x1080?cb=1477638678840"
"Der Kriminalist","ZDF","Christian Berkel ermittelt als Bruno Schumann in ""Der Kriminalist"".","14","tv","D","https://www.zdf.de//serien/der-kriminalist","https://www.zdf.de/assets/sendungsteaser-der-kriminalist-100~1920x1080?cb=1477648101929"
"Der Quiz-Champion","ZDF","""Der Quiz-Champion"" mit Johannes B. Kerner meldet sich mit einem ""Champions-Special"" zurück. Alle ehemaligen Finalisten treten noch einmal an.","10","tv","D","https://www.zdf.de//show/der-quiz-champion","https://www.zdf.de/assets/der-quiz-champion-sendungsteaser-100~1920x1080?cb=1477638721958"
"Der Staatsanwalt","ZDF","Rainer Hunold, Simon Eckert und Fiona Coors verkörpern das unschlagbare Team der Serie ""Der Staatsanwalt"".","17","tv","D","https://www.zdf.de//serien/der-staatsanwalt","https://www.zdf.de/assets/der-staatsanwalt-sendungsteaser-100~1920x1080?cb=1477648521788"
"Die Anstalt","ZDF","Politsatire mit Max Uthoff und Claus von Wagner","96","tv","D","https://www.zdf.de//comedy/die-anstalt","https://www.zdf.de/assets/die-anstalt-sendungteaser-100~1920x1080?cb=1477638771946"
"Die Bergretter","ZDF","Actionreiche und spannende Geschichten um Markus Kofler und sein Team von der Bergrettung Ramsau am Dachstein!","32","tv","D","https://www.zdf.de//serien/die-bergretter","https://www.zdf.de/assets/die-bergretter-sendungsteaser-100~1920x1080?cb=1477638825724"
"Die Chefin","ZDF","Katharina Böhm ist Vera Lanz, Hauptkommissarin in der Münchner Mordkommission.","13","tv","D","https://www.zdf.de//serien/die-chefin","https://www.zdf.de/assets/die-chefin-sendungsteaser-100~1920x1080?cb=1477638869139"
"Die Diskussion","PHOENIX","Presseclub, Frühschoppen und andere Talk-Runden","12","tv","D","https://www.zdf.de//politik/die-diskussion","https://www.zdf.de/assets/die-diskussion-sendungsteaser-100~1920x1080?cb=1477638912174"
"Die Küchenschlacht","ZDF","Jede Woche treten sechs Hobbyköche gegeneinander an. Jeden Tag muss ein Kandidat die Sendung verlassen.","509","tv","D","https://www.zdf.de//show/die-kuechenschlacht","https://www.zdf.de/assets/die-kuechenschlacht-sendungsteaser-100~1920x1080?cb=1477638972099"
